"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/27/2018","AQS","390350051","1","0.4","ppm","5","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"01/28/2018","AQS","390350051","1","0.3","ppm","3","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"01/29/2018","AQS","390350051","1","0.4","ppm","5","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"01/30/2018","AQS","390350051","1","0.3","ppm","3","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"01/31/2018","AQS","390350051","1","0.5","ppm","6","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"02/01/2018","AQS","390350051","1","0.3","ppm","3","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"02/02/2018","AQS","390350051","1","0.3","ppm","3","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"02/03/2018","AQS","390350051","1","0.3","ppm","3","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"02/04/2018","AQS","390350051","1","0.4","ppm","5","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"02/05/2018","AQS","390350051","1","0.4","ppm","5","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"02/06/2018","AQS","390350051","1","0.4","ppm","5","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"02/07/2018","AQS","390350051","1","0.3","ppm","3","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"02/08/2018","AQS","390350051","1","0.2","ppm","2","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"02/09/2018","AQS","390350051","1","0.5","ppm","6","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"02/10/2018","AQS","390350051","1","0.4","ppm","5","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"02/11/2018","AQS","390350051","1","0.5","ppm","6","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"02/12/2018","AQS","390350051","1","0.3","ppm","3","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"02/13/2018","AQS","390350051","1","0.5","ppm","6","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"02/14/2018","AQS","390350051","1","0.5","ppm","6","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"02/15/2018","AQS","390350051","1","0.4","ppm","5","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"02/16/2018","AQS","390350051","1","0.7","ppm","8","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"02/17/2018","AQS","390350051","1","0.2","ppm","2","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"02/18/2018","AQS","390350051","1","0.2","ppm","2","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"02/19/2018","AQS","390350051","1","0.7","ppm","8","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"02/20/2018","AQS","390350051","1","0.4","ppm","5","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"02/21/2018","AQS","390350051","1","0.9","ppm","10","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"02/22/2018","AQS","390350051","1","0.8","ppm","9","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"02/23/2018","AQS","390350051","1","0.3","ppm","3","Galleria","3","13.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"03/01/2018","AQS","390350051","1","0.4","ppm","5","Galleria","6","25.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"03/02/2018","AQS","390350051","1","0.4","ppm","5","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
